date,lat,lon,zone,deaths,confirmed
13,-12.0453,-77.0308,0,3.0,194.0
14,-12.0453,-77.0308,0,4.0,212.0
15,-12.0453,-77.0308,0,4.0,241.0
16,-12.0453,-77.0308,0,4.0,278.0
17,-12.0453,-77.0308,0,4.0,307.0
18,-12.0453,-77.0308,0,5.0,322.0
19,-12.0453,-77.0308,0,6.0,369.0
20,-12.0453,-77.0308,0,6.0,453.0
21,-12.0453,-77.0308,0,7.0,494.0
22,-12.0631,-77.1469,0,1.0,18.0
22,-12.0453,-77.0308,0,9.0,518.0
23,-9.5297,-77.5292,0,1.0,6.0
23,-12.0631,-77.1469,0,1.0,29.0
23,-12.0453,-77.0308,0,10.0,639.0
24,-9.5297,-77.5292,0,1.0,11.0
24,-12.0631,-77.1469,0,2.0,24.0
24,-12.0453,-77.0308,0,13.0,718.0
25,-9.5297,-77.5292,0,1.0,11.0
25,-12.0631,-77.1469,0,3.0,25.0
25,-12.0453,-77.0308,0,16.0,799.0
26,-9.5297,-77.5292,0,1.0,15.0
26,-12.0631,-77.1469,0,4.0,37.0
26,-12.0453,-77.0308,0,28.0,990.0
27,-9.5297,-77.5292,0,1.0,15.0
27,-12.0631,-77.1469,0,4.0,40.0
27,-12.0708,-75.2089,0,1.0,17.0
27,-12.0453,-77.0308,0,34.0,1059.0
28,-9.5297,-77.5292,0,1.0,18.0
28,-12.0631,-77.1469,0,4.0,59.0
28,-12.0708,-75.2089,0,1.0,19.0
28,-12.0453,-77.0308,0,39.0,1179.0
29,-9.5297,-77.5292,0,1.0,18.0
29,-12.0631,-77.1469,0,5.0,64.0
29,-12.0708,-75.2089,0,1.0,25.0
29,-12.0453,-77.0308,0,46.0,1257.0
30,-9.5297,-77.5292,0,1.0,23.0
30,-12.0631,-77.1469,0,8.0,89.0
30,-12.0708,-75.2089,0,1.0,25.0
30,-12.0453,-77.0308,0,51.0,1639.0
31,-9.5297,-77.5292,0,1.0,27.0
31,-12.0631,-77.1469,0,8.0,109.0
31,-12.0708,-75.2089,0,1.0,28.0
31,-12.0453,-77.0308,0,58.0,1837.0
32,-9.5297,-77.5292,0,1.0,36.0
32,-12.0631,-77.1469,0,10.0,161.0
32,-12.0708,-75.2089,0,1.0,28.0
32,-12.0453,-77.0308,0,65.0,2100.0
33,-9.5297,-77.5292,0,4.0,50.0
33,-12.0631,-77.1469,0,2.0,320.0
33,-12.0708,-75.2089,0,3.0,42.0
33,-12.0453,-77.0308,0,72.0,3016.0
34,-9.5297,-77.5292,0,4.0,57.0
34,-12.0631,-77.1469,0,16.0,413.0
34,-12.0708,-75.2089,0,1.0,42.0
34,-12.0453,-77.0308,0,82.0,3704.0
35,-9.5297,-77.5292,0,4.0,67.0
35,-12.0631,-77.1469,0,16.0,465.0
35,-12.0708,-75.2089,0,1.0,56.0
35,-12.0453,-77.0308,0,87.0,4210.0
36,-9.5297,-77.5292,0,5.0,88.0
36,-12.0631,-77.1469,0,16.0,541.0
36,-12.0708,-75.2089,0,1.0,58.0
36,-12.0453,-77.0308,0,94.0,4933.0
39,-9.5297,-77.5292,0,5.0,124.0
39,-12.0631,-77.1469,0,20.0,908.0
39,-12.0708,-75.2089,0,1.0,68.0
39,-12.0453,-77.0308,0,114.0,7476.0
40,-9.5297,-77.5292,0,5.0,144.0
40,-12.0631,-77.1469,0,24.0,939.0
40,-12.0708,-75.2089,0,1.0,79.0
40,-12.0453,-77.0308,0,117.0,8412.0
41,-9.5297,-77.5292,0,5.0,171.0
41,-12.0631,-77.1469,0,27.0,1008.0
41,-12.0708,-75.2089,0,1.0,79.0
41,-12.0453,-77.0308,0,129.0,9107.0
41,-8.3681,-74.5433,0,2.0,49.0
42,-9.5297,-77.5292,0,13.0,189.0
42,-12.0631,-77.1469,0,27.0,1080.0
42,-12.0708,-75.2089,0,1.0,101.0
42,-12.0453,-77.0308,0,129.0,9793.0
42,-8.3681,-74.5433,0,2.0,56.0
43,-9.5297,-77.5292,0,13.0,217.0
43,-12.0631,-77.1469,0,34.0,1180.0
43,-12.0708,-75.2089,0,1.0,130.0
43,-12.0453,-77.0308,0,144.0,10234.0
43,-8.3681,-74.5433,0,3.0,73.0
44,-9.5297,-77.5292,0,16.0,251.0
44,-12.0631,-77.1469,0,34.0,1239.0
44,-12.0708,-75.2089,0,1.0,150.0
44,-12.0453,-77.0308,0,169.0,10877.0
44,-8.3681,-74.5433,0,3.0,97.0
45,-9.5297,-77.5292,0,19.0,275.0
45,-12.0631,-77.1469,0,35.0,1282.0
45,-12.0708,-75.2089,0,1.0,155.0
45,-12.0453,-77.0308,0,199.0,11297.0
