date,lat,lon,zone,deaths,confirmed
13,-12.0453,-77.0308,0,3.0,194.0
14,-12.0453,-77.0308,0,4.0,212.0
15,-12.0453,-77.0308,0,4.0,241.0
15,-5.1525,-80.6578,1,1.0,18.0
16,-12.0453,-77.0308,0,4.0,278.0
16,-5.1525,-80.6578,1,1.0,19.0
17,-12.0453,-77.0308,0,4.0,307.0
17,-5.1525,-80.6578,1,1.0,19.0
18,-8.1,-79.0306,1,1.0,5.0
18,-12.0453,-77.0308,0,5.0,322.0
18,-5.1525,-80.6578,1,1.0,19.0
19,-13.5192,-71.9767,2,1.0,10.0
19,-8.1,-79.0306,1,1.0,6.0
19,-12.0453,-77.0308,0,6.0,369.0
19,-5.1525,-80.6578,1,1.0,19.0
20,-13.5192,-71.9767,2,1.0,10.0
20,-8.1,-79.0306,1,1.0,9.0
20,-12.0453,-77.0308,0,6.0,453.0
20,-5.1525,-80.6578,1,1.0,20.0
21,-13.5192,-71.9767,2,1.0,10.0
21,-8.1,-79.0306,1,2.0,9.0
21,-12.0453,-77.0308,0,7.0,494.0
21,-5.1525,-80.6578,1,1.0,20.0
22,-12.0631,-77.1469,0,1.0,18.0
22,-13.5192,-71.9767,2,2.0,11.0
22,-8.1,-79.0306,1,2.0,10.0
22,-6.7669,-79.8506,1,1.0,15.0
22,-12.0453,-77.0308,0,9.0,518.0
22,-5.1525,-80.6578,1,1.0,20.0
23,-9.5297,-77.5292,0,1.0,6.0
23,-12.0631,-77.1469,0,1.0,29.0
23,-13.5192,-71.9767,2,2.0,17.0
23,-8.1,-79.0306,1,2.0,13.0
23,-6.7669,-79.8506,1,1.0,22.0
23,-12.0453,-77.0308,0,10.0,639.0
23,-5.1525,-80.6578,1,1.0,21.0
24,-9.5297,-77.5292,0,1.0,11.0
24,-12.0631,-77.1469,0,2.0,24.0
24,-13.5192,-71.9767,2,2.0,25.0
24,-8.1,-79.0306,1,2.0,15.0
24,-6.7669,-79.8506,1,1.0,22.0
24,-12.0453,-77.0308,0,13.0,718.0
24,-3.7481,-73.2442,1,2.0,53.0
24,-5.1525,-80.6578,1,1.0,21.0
25,-9.5297,-77.5292,0,1.0,11.0
25,-12.0631,-77.1469,0,3.0,25.0
25,-13.5192,-71.9767,2,2.0,26.0
25,-8.1,-79.0306,1,2.0,19.0
25,-6.7669,-79.8506,1,1.0,30.0
25,-12.0453,-77.0308,0,16.0,799.0
25,-3.7481,-73.2442,1,2.0,58.0
25,-5.1525,-80.6578,1,1.0,21.0
25,-6.0347,-76.9742,1,1.0,6.0
25,-3.5711,-80.4592,1,1.0,10.0
26,-9.5297,-77.5292,0,1.0,15.0
26,-16.3933,-71.5289,2,1.0,30.0
26,-12.0631,-77.1469,0,4.0,37.0
26,-13.5192,-71.9767,2,2.0,34.0
26,-8.1,-79.0306,1,3.0,32.0
26,-6.7669,-79.8506,1,3.0,34.0
26,-12.0453,-77.0308,0,28.0,990.0
26,-3.7481,-73.2442,1,2.0,66.0
26,-5.1525,-80.6578,1,1.0,26.0
26,-6.0347,-76.9742,1,1.0,6.0
26,-3.5711,-80.4592,1,1.0,13.0
27,-9.5297,-77.5292,0,1.0,15.0
27,-16.3933,-71.5289,2,1.0,30.0
27,-12.0631,-77.1469,0,4.0,40.0
27,-13.5192,-71.9767,2,2.0,38.0
27,-12.0708,-75.2089,0,1.0,17.0
27,-8.1,-79.0306,1,3.0,34.0
27,-6.7669,-79.8506,1,3.0,37.0
27,-12.0453,-77.0308,0,34.0,1059.0
27,-3.7481,-73.2442,1,2.0,72.0
27,-5.1525,-80.6578,1,1.0,27.0
27,-6.0347,-76.9742,1,1.0,6.0
27,-3.5711,-80.4592,1,2.0,15.0
28,-9.5297,-77.5292,0,1.0,18.0
28,-16.3933,-71.5289,2,1.0,37.0
28,-12.0631,-77.1469,0,4.0,59.0
28,-13.5192,-71.9767,2,3.0,44.0
28,-12.0708,-75.2089,0,1.0,19.0
28,-8.1,-79.0306,1,4.0,44.0
28,-6.7669,-79.8506,1,2.0,35.0
28,-12.0453,-77.0308,0,39.0,1179.0
28,-3.7481,-73.2442,1,2.0,84.0
28,-5.1525,-80.6578,1,1.0,27.0
28,-6.0347,-76.9742,1,1.0,6.0
28,-3.5711,-80.4592,1,2.0,16.0
29,-9.5297,-77.5292,0,1.0,18.0
29,-16.3933,-71.5289,2,2.0,37.0
29,-12.0631,-77.1469,0,5.0,64.0
29,-13.5192,-71.9767,2,3.0,48.0
29,-14.0636,-75.7292,2,1.0,9.0
29,-12.0708,-75.2089,0,1.0,25.0
29,-8.1,-79.0306,1,4.0,50.0
29,-6.7669,-79.8506,1,3.0,55.0
