date,region,region_orig,deaths,confirmed
64,LA LIBERTAD,LA LIBERTAD,66.0,1394.0
64,LAMBAYEQUE,LAMBAYEQUE,365.0,3628.0
64,LIMA,LIMA,662.0,41844.0
64,LORETO,LORETO,67.0,1735.0
64,MADRE DE DIOS,MADRE DE DIOS,1.0,150.0
64,PASCO,PASCO,1.0,162.0
64,PIURA,PIURA,240.0,2388.0
64,PUNO,PUNO,1.0,164.0
64,SAN MARTIN,SAN MARTIN,2.0,428.0
64,TACNA,TACNA,2.0,171.0
64,TUMBES,TUMBES,19.0,478.0
64,UCAYALI,UCAYALI,67.0,1255.0
65,AMAZONAS,AMAZONAS,8.0,237.0
65,ANCASH,ANCASH,106.0,1507.0
65,AREQUIPA,AREQUIPA,20.0,1046.0
65,CAJAMARCA,CAJAMARCA,3.0,362.0
65,CALLAO,CALLAO,119.0,5360.0
65,CUSCO,CUSCO,3.0,407.0
65,HUANCAVELICA,HUANCAVELICA,1.0,193.0
65,HUANUCO,HUANUCO,7.0,333.0
65,ICA,ICA,41.0,1003.0
65,JUNIN,JUNIN,14.0,798.0
65,LA LIBERTAD,LA LIBERTAD,66.0,1449.0
65,LAMBAYEQUE,LAMBAYEQUE,376.0,3655.0
65,LIMA,LIMA,672.0,43284.0
65,LORETO,LORETO,75.0,1780.0
65,MADRE DE DIOS,MADRE DE DIOS,1.0,162.0
65,PASCO,PASCO,1.0,167.0
