date,region,region_orig,deaths,confirmed
36,TUMBES,TUMBES,4.0,68.0
39,ANCASH,ANCASH,5.0,124.0
39,AREQUIPA,AREQUIPA,5.0,99.0
39,CALLAO,CALLAO,20.0,908.0
39,CUSCO,CUSCO,3.0,106.0
39,HUANCAVELICA,HUANCAVELICA,1.0,10.0
39,ICA,ICA,2.0,76.0
39,JUNIN,JUNIN,1.0,68.0
39,LA LIBERTAD,LA LIBERTAD,7.0,166.0
39,LAMBAYEQUE,LAMBAYEQUE,44.0,427.0
39,LIMA,LIMA,114.0,7476.0
39,LORETO,LORETO,9.0,357.0
39,PIURA,PIURA,14.0,224.0
39,SAN MARTIN,SAN MARTIN,1.0,23.0
39,TUMBES,TUMBES,4.0,69.0
40,ANCASH,ANCASH,5.0,144.0
40,AREQUIPA,AREQUIPA,5.0,98.0
40,CAJAMARCA,CAJAMARCA,1.0,20.0
40,CALLAO,CALLAO,24.0,939.0
40,CUSCO,CUSCO,3.0,108.0
40,HUANCAVELICA,HUANCAVELICA,1.0,11.0
40,ICA,ICA,2.0,101.0
40,JUNIN,JUNIN,1.0,79.0
40,LA LIBERTAD,LA LIBERTAD,7.0,184.0
40,LAMBAYEQUE,LAMBAYEQUE,53.0,428.0
40,LIMA,LIMA,117.0,8412.0
40,LORETO,LORETO,10.0,396.0
40,PIURA,PIURA,14.0,229.0
40,SAN MARTIN,SAN MARTIN,1.0,48.0
40,TUMBES,TUMBES,10.0,82.0
41,ANCASH,ANCASH,5.0,171.0
41,AREQUIPA,AREQUIPA,5.0,111.0
41,CAJAMARCA,CAJAMARCA,1.0,22.0
41,CALLAO,CALLAO,27.0,1008.0
41,CUSCO,CUSCO,3.0,109.0
41,HUANCAVELICA,HUANCAVELICA,1.0,11.0
41,ICA,ICA,2.0,106.0
41,JUNIN,JUNIN,1.0,79.0
41,LA LIBERTAD,LA LIBERTAD,9.0,193.0
41,LAMBAYEQUE,LAMBAYEQUE,54.0,571.0
41,LIMA,LIMA,129.0,9107.0
41,LORETO,LORETO,10.0,412.0
41,PIURA,PIURA,14.0,233.0
